Model,Temp,Language,Total,Compilable_before (%),Compilable_after (%)
qwen2.5,1.0,Vietnamese,1000,5.800000000000001,72.3
starcoder2,0.0,Afrikaans,100,4.0,78.0
starcoder2,0.0,Arabic,100,5.0,77.0
starcoder2,0.0,Bulgarian,100,3.0,76.0
starcoder2,0.0,Chinese,100,2.0,85.0
starcoder2,0.0,Dutch,100,5.0,75.0
starcoder2,0.0,English,100,3.0,71.0
starcoder2,0.0,Estonian,100,3.0,76.0
starcoder2,0.0,Finnish,100,3.0,85.0
starcoder2,0.0,French,100,3.0,80.0
starcoder2,0.0,German,100,4.0,86.0
starcoder2,0.0,Greek,100,3.0,63.0
starcoder2,0.0,Hebrew,100,3.0,76.0
starcoder2,0.0,Hungarian,100,3.0,82.0
starcoder2,0.0,Indonesian,100,3.0,82.0
starcoder2,0.0,Italian,100,4.0,84.0
starcoder2,0.0,Malay,100,3.0,82.0
starcoder2,0.0,Persian,100,3.0,83.0
starcoder2,0.0,Portuguese,100,2.0,76.0
starcoder2,0.0,Russian,100,3.0,73.0
starcoder2,0.0,Spanish,100,2.0,81.0
starcoder2,0.0,Tagalog,100,3.0,82.0
starcoder2,0.0,Turkish,100,2.0,74.0
starcoder2,0.0,Vietnamese,100,3.0,84.0
starcoder2,0.2,Afrikaans,1000,3.8,79.60000000000001
starcoder2,0.2,Arabic,1000,2.6,73.0
starcoder2,0.2,Bulgarian,1000,3.2,73.5
starcoder2,0.2,Chinese,1000,3.1,81.89999999999999
starcoder2,0.2,Dutch,1000,3.5999999999999996,76.9
starcoder2,0.2,English,1000,3.6999999999999997,71.8
starcoder2,0.2,Estonian,1000,2.7,78.60000000000001
starcoder2,0.2,Finnish,1000,3.5999999999999996,78.2
starcoder2,0.2,French,1000,3.0,80.10000000000001
starcoder2,0.2,German,1000,2.7,81.6
starcoder2,0.2,Greek,1000,2.8000000000000003,64.2
starcoder2,0.2,Hebrew,1000,2.9000000000000004,73.8
starcoder2,0.2,Hungarian,1000,3.5999999999999996,79.2
starcoder2,0.2,Indonesian,1000,3.2,80.60000000000001
starcoder2,0.2,Italian,1000,3.3000000000000003,81.0
starcoder2,0.2,Malay,1000,2.9000000000000004,81.89999999999999
starcoder2,0.2,Persian,1000,3.1,74.6
starcoder2,0.2,Portuguese,1000,1.7999999999999998,77.5
starcoder2,0.2,Russian,1000,2.9000000000000004,73.8
starcoder2,0.2,Spanish,1000,2.6,78.0
starcoder2,0.2,Tagalog,1000,3.9,80.4
starcoder2,0.2,Turkish,1000,2.8000000000000003,75.4
starcoder2,0.2,Vietnamese,1000,3.4000000000000004,78.8
starcoder2,0.4,Afrikaans,1000,4.2,72.5
starcoder2,0.4,Arabic,1000,3.2,64.60000000000001
starcoder2,0.4,Bulgarian,1000,3.3000000000000003,67.5
starcoder2,0.4,Chinese,1000,2.6,74.9
starcoder2,0.4,Dutch,1000,3.9,70.8
starcoder2,0.4,English,1000,3.5999999999999996,67.30000000000001
